ID,Self_brand_promotion_video,Brand_partnership,Age_restriction,max_video_quality,Video_title,Video_category,Monetization,video_type,Posting_date,Video_of_influencer,Links_present,Video_duration,Subtitles_present,Video_language,No_of_comments,Mentions,Hashtags,No_of_likes,Does_post_include_others_social_media_details,no_of_views,video_link,sponsor_name,video_contains_Pramotion,Content_type
117,0,0,0,1080p,"This is what every Esports Athlete Needs!",Gaming,1,Longvideo,2024-02-15,1,1,00:12:30,0,Hindi,468,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",28009,1,342502,https://youtu.be/exWra1jnDDI?si=RxLmZZd8_-A2DY_L,,0,Game
118,1,1,0,1080p,"Realistic Graphics with Direct X 12 Ultimate (Windows 11 Presents Gamer Fest)",Ad,1,Longvideo,2024-02-14,1,1,00:02:15,0,Hindi,173,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",3823,1,40337,https://youtu.be/PXVaOFhgigQ?si=tu2zf43igN1qHPbD,,1,Ad
119,0,0,0,1080p,"Indian Gaming Community Started Here!! #GalaxyS23 Launch",Vlog,1,Longvideo,2024-02-04,1,1,00:17:15,0,Hindi,807,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",35214,1,334611,https://youtu.be/lP8qZvu2wTM?si=_6kXHgHFSxxehtCg,,0,Vlog
120,1,1,0,1080p,"This Gaming Phone has EYE PROTECTION 🤯🤯","Tech review",1,Longvideo,2024-01-21,1,1,00:04:03,0,Hindi,423,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",11845,1,166812,https://youtu.be/nQFXKr7XvaI?si=WS3RPuUe0JWSeCWt,realme,1,"Tech review"
121,0,0,0,1080p,"Your Favorite Creators Gathered in GOA | My Fitness Routine",Vlog,1,Longvideo,2024-01-19,1,1,00:20:40,0,Hindi,496,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",77742,1,1149079,https://youtu.be/baJ7Mb0IwKQ?si=DAQMXwn56qpF9YUZ,,0,Vlog
122,1,1,0,1080p,"How Gaming EVOLVED in Last Few years | Talkshow",Ad,1,Longvideo,2024-01-04,1,1,00:10:36,0,Hindi,496,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",6137,1,59763,https://youtu.be/DQ3IHcLK4Pg?si=keea0A1PpS_hTlxM,"A.C.T Fiber",1,Ad
123,0,0,0,1440p,"LONG NIGHT STREAMS ARE BACK | Scout is Live w BGMI",Gaming,1,Livestream,2024-08-18,1,1,06:07:42,0,Hindi,61,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",35498,1,378678,https://youtu.be/DQ3IHcLK4Pg?si=keea0A1PpS_hTlxM,,0,Game
124,1,1,0,1440p,"Lenovo + Intel Presents S8UL Gaming Festival | Kick Off Day 2 | FIFA 23",Ad,1,Livestream,2024-07-22,1,1,06:07:42,0,Hindi,38,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",10076,1,115136,https://www.youtube.com/live/23QtThMud6I?si=CxlqZyKeQXZgG99c,Lenovo,1,Ad
125,0,0,0,1440p,"LONG TIME NO SEE | Scout is live",Gaming,1,Livestream,2024-07-17,1,1,04:01:22,0,Hindi,109,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",39920,1,525713,https://www.youtube.com/live/cBPCm6SUigs?si=wsFw2wQ-azeN-6rM,,0,Game
126,0,0,0,1440p,"5 chicken challenge",Gaming,1,Livestream,2024-07-13,1,1,07:40:46,0,Hindi,70,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",40632,1,546904,https://www.youtube.com/live/CWpnRE9NVqA?si=talRPCQhNoxPcudz,,0,Game
127,0,0,0,1440p,"LATE NIGHT DISCUSSIONS + BGMI TOURNAMENT POV | Scout is Live w BGMI",Gaming,1,Livestream,2024-06-19,1,1,03:18:43,0,Hindi,280,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",42763,1,551364,https://www.youtube.com/live/gwuUtii64xY?si=BvxGflQCuFB7OYy_,,0,Game
128,0,0,0,1440p,"S8UL UNITES FOR ODISHA - CHARITY STREAM",Gaming,1,Livestream,2024-06-05,1,1,03:56:15,0,Hindi,510,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",105180,1,1244585,https://www.youtube.com/live/P63SL7aYTDg?si=T3raNBDclAe0use2,,0,Game
129,0,0,0,1440p,"X-Suit Crate Opening & Gifting | Scout is live",Gaming,1,Livestream,2024-06-04,1,1,03:11:35,0,Hindi,190,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",82116,1,1072242,https://www.youtube.com/live/yCuuU7lwT20?si=Ihzpsymc7pPDUl9m,,0,Game
130,0,0,0,1440p,"Back With Classic BGMI Fun | Scout is Live",Gaming,1,Livestream,2024-05-30,1,1,04:28:29,0,Hindi,163,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",78930,1,1074491,https://www.youtube.com/live/AVn20HzOLC0?si=Bg1e2o9oPZpAZYss,,0,Game
131,0,0,0,1440p,"BGMI AKHIR AA HI GAYA | sc0ut is LIVE",Gaming,1,Livestream,2024-05-29,1,1,03:58:44,0,Hindi,207,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",113888,1,1195083,https://www.youtube.com/live/LU_6TWVtZfY?si=ANXG5_lP4uN3s-Cr,,0,Game
132,0,0,0,1440p,"CONCERT KA INTEZAAR | WO PURANE DIN ?? 🥹 | Scout is Live",Gaming,1,Livestream,2024-05-19,1,1,05:10:07,0,Hindi,89,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",35440,1,413034,https://www.youtube.com/live/e0_42KCpoKs?si=bSqV_F8u6C4Us5S-,,0,Game
